episode,steps,return
655,117,-168
656,25,-13
657,71,-158
658,36,-51
659,111,-126
660,159,-318
661,13,-10
662,41,-83
663,71,-95
664,31,-37
665,72,-105
666,117,-195
667,20,-8
668,32,-11
669,109,-196
670,18,-15
671,59,-83
672,42,-93
673,43,-67
674,111,-189
675,21,-36
676,101,-188
677,154,-277
678,64,-88
679,12,9
680,52,-67
681,17,4
682,24,-21
683,35,-68
684,16,5
685,20,-8
686,134,-212
687,27,-24
688,110,-179
689,10,-7
690,11,10
691,89,-131
692,97,-157
693,14,-20
694,64,-88
695,141,-246
696,54,-87
697,21,-45
698,39,-81
699,78,-129
700,118,-178
701,38,-53
702,11,-8
703,12,9
704,48,-81
705,11,1
706,111,-180
707,21,-18
708,89,-149
709,28,-25
710,24,-21
711,27,-33
712,59,-92
713,176,-209
714,125,-203
715,25,-40
716,37,-34
717,29,-26
718,168,-264
719,17,-14
720,81,-132
721,10,2
722,85,-118
723,66,-99
724,78,-138
725,131,-209
726,48,-72
727,156,-216
728,31,-64
729,85,-127
730,31,-19
731,64,-97
732,10,2
733,15,-3
734,37,-43
735,80,-149
736,29,-35
737,22,-10
738,51,-39
739,31,-19
740,11,1
741,50,-47
742,17,4
743,9,12
744,11,1
745,21,-36
746,66,-99
747,19,2
748,25,-4
749,32,-29
750,59,-92
751,15,-3
752,66,-90
753,75,-153
754,10,11
755,13,-1
756,29,-26
757,31,-37
758,21,-9
759,88,-130
760,18,-33
761,196,-310
762,12,0
763,161,-275
764,69,-111
765,57,-54
766,14,-2
767,16,-4
768,27,-6
769,74,-125
770,15,6
771,61,-112
772,24,-30
773,99,-141
774,17,-5
775,67,-100
776,78,-129
777,23,-20
778,51,-84
779,17,-5
780,21,-9
781,103,-181
782,15,-3
783,14,-2
784,30,-36
785,91,-178
786,15,-3
787,24,-21
788,17,4
789,10,11
790,15,-3
791,51,-57
792,34,-67
793,95,-182
794,122,-227
795,27,-15
796,37,-52
797,18,-6
798,30,-54
799,13,-10
800,12,9
801,80,-131
802,88,-166
803,78,-120
804,37,-34
805,71,-95
806,162,-294
807,28,-25
808,44,-68
809,51,-48
810,106,-193
811,44,-50
812,43,-40
813,179,-401
814,11,-8
815,139,-208
816,32,-20
817,50,-65
818,13,8
819,80,-140
820,55,-70
821,43,-31
822,35,-23
823,40,-46
824,23,-47
825,30,-36
826,102,-225
827,14,-2
828,28,-25
829,32,-29
830,11,10
831,44,-50
832,120,-198
833,27,-15
834,64,-106
835,66,-126
836,14,-2
837,80,-149
838,15,-3
839,19,-16
840,53,-104
841,27,-15
842,19,-7
843,52,-94
