episode,steps,return
661,10,2
662,65,-44
663,23,-2
664,29,-17
665,47,-53
666,82,-70
667,22,-1
668,46,-52
669,31,-19
670,11,10
671,58,-37
672,65,-71
673,58,-55
674,53,-50
675,11,10
676,52,-49
677,39,-27
678,81,-69
679,15,-3
680,13,8
681,16,5
682,17,-5
683,23,-11
684,14,-11
685,11,10
686,151,-202
687,19,-16
688,70,-76
689,12,-9
690,15,-3
691,49,-37
692,46,-52
693,11,10
694,29,-26
695,111,-135
696,35,-32
697,10,11
698,71,-59
699,22,-1
700,98,-122
701,14,-11
702,10,2
703,11,10
704,64,-52
705,11,10
706,137,-161
707,9,12
708,30,-9
709,12,0
710,33,-39
711,45,-60
712,38,-26
713,136,-124
714,58,-55
715,22,-37
716,115,-112
717,19,-7
718,61,-49
719,20,-8
720,44,-32
721,7,14
722,24,-12
723,82,-79
724,51,-66
725,130,-154
726,27,-6
727,145,-178
728,29,-17
729,15,6
730,46,-25
731,39,-18
732,10,2
733,12,0
734,14,-2
735,104,-119
736,23,-11
737,38,-62
738,66,-90
739,36,-42
740,12,9
741,46,-34
742,11,10
743,10,11
744,10,11
745,13,8
746,39,-27
747,15,-12
748,13,8
749,21,-9
750,81,-60
751,10,11
752,68,-65
753,27,-15
754,9,12
755,9,12
756,28,-25
757,14,-2
758,27,-6
759,63,-42
760,10,11
761,101,-98
762,16,-4
763,118,-214
764,45,-42
765,22,-1
766,11,10
767,20,-8
768,15,-3
769,103,-109
770,16,5
771,46,-52
772,10,11
773,45,-33
774,23,-11
775,68,-65
776,23,-2
777,30,-9
778,33,-30
779,13,8
780,49,-37
781,40,-19
782,48,-45
783,24,-3
784,15,-3
785,27,-6
786,10,11
787,11,10
788,9,12
789,7,14
790,12,0
791,92,-116
792,25,-13
793,31,-10
794,83,-107
795,34,-13
796,47,-26
797,18,3
798,17,4
799,10,11
800,13,-1
801,65,-62
802,30,-27
803,49,-46
804,37,-34
805,47,-35
806,98,-104
807,31,-19
808,21,-9
809,40,-19
810,77,-83
811,14,-2
812,43,-22
813,51,-48
